Line,Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
110,110,LOUGHEED STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Standard," 70,000 "," 32,000 ",400m, 16.7 ,,0,0,0,0,0,0,0,0,0
112,112,EDMONDS STN/NEW WEST STN,Burnaby/New Westminster,Std. Bus,Standard," 93,000 "," 29,000 ",400m, 5.0 ,,Fall 2019: Increase service 07:00-08:00 from every 15 to 12 mins (M-F),0,0,0,0,0,0,0,0
116,116,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Standard," 50,000 "," 29,000 ",400m, 15.0 ,,"- Fall 2017: Reroute service near Metrotown for single direction around Imperial, Central, and Willingdon",- Fall 2018: Increase service during a.m. peak from every 15-30 to 12-20 min (M-F),- Winter 2018: Increase service 15:00-17:00 from every 20 to 15 min (M-F),Spring 2019: Extend service to start at 6:45 (Sat),Fall 2019: Increase service 08:00-09:00 from every 20 to 15-20 mins (M-F),0,0,0,0
119,119,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,All Day Frequent," 61,000 "," 22,000 ",400m,, Data reflects split with 106 in Dec 2017; See 106 for earlier data ,"- Winter 2017: Split 106 at Edmonds Station, this route serves Edmonds Station to Metrotown Station (rest served by 106; all days)",- Spring 2018: Increase service to meet level prior to 106/119 route split (all days),0,0,0,0,0,0,0
123,123,NEW WEST STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,All Day Frequent," 55,000 "," 31,000 ",400m, 10.9 ,,- Fall 2018: Increase service during p.m. peak from every 12 to 10 min (M-F),Summer 2019: Increase service 18:00-19:00 from every 12 to 10 mins (M-F),,0,0,0,0,0,0
125,125,PATTERSON STN/BCIT,Burnaby/New Westminster,Std. Bus,Peak Only Limited," 23,000 "," 17,000 ",400m, 3.7 ,,0,0,0,0,0,0,0,0,0
128,128,BRAID STN/22ND STREET STN,Burnaby/New Westminster,Std. Bus,Standard," 26,000 "," 6,000 ",400m, 7.0 ,,- Winter 2017: Increase service 09:00-15:00 from every 30 to 20 min (M-F),0,0,,0,0,0,0,0
129/133,129/133,PATTERSON STN/HOLDOM STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,Peak Frequent," 108,000 "," 45,000 ",400m, 20.4 , 129/133 run as a connected route ,- Summer 2015: Revise western terminus from Metrotown Station to Patterson Station for station upgrades,"- Spring 2018, Split 129 at Holdom Station; Route 129 now serves Holdom Station to Patterson Station and 133 serves Holdom Station to Edmonds Station (all days)",0,0,0,0,0,0,0
130,130,METROTOWN STN/KOOTENAY/PHIBBS EXCH/CAPILANO U,Burnaby/New Westminster,Std. Bus,All Day Frequent," 71,000 "," 38,000 ",400m, 9.3 ,,- Fall 2017: Increase service during a.m./p.m. peaks from every 7-8 to 6-7 min (M-F); Increase service 18:00-22:00 from every 15-20 to 12-15 min (Sat),- Winter 2017: Increase service 21:00-22:00 from every 20 to 15 min (Sat),0,0,0,0,0,0,0
131,131,HASTINGS AT GILMORE/KOOTENAY LOOP,Burnaby/New Westminster,Mini-Bus,Basic," 19,000 "," 4,000 ",400m, 4.5 ,,- Spring 2018: Change route name from C1 to 131 (all days),0,,0,0,0,0,0,0
132,132,CAPITOL HILL/HASTINGS AT GILMORE,Burnaby/New Westminster,Mini-Bus,Basic," 13,000 "," 3,000 ",400m, 3.7 ,,- Spring 2018: Change route name from C2 to 132 (all days),0,0,0,0,0,0,0,0
134,134,LAKE CITY STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard," 38,000 "," 11,000 ",400m, 12.1 ,,0,0,0,0,0,0,0,0,0
136,136,LOUGHEED STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard," 54,000 "," 22,000 ",400m, 13.7 ,,0,0,0,0,0,0,0,0,0
143,143,BURQUITLAM STN/SFU,Northeast Sector,Artic. Bus,Peak Frequent," 21,000 "," 3,000 ",400m, 7.0 , Data reflects Evergreen Extension changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Maintain service btw Burquitlam Stn and SFU; Discontinue segment btw Burquitlam Stn and Coquitlam Central Stn to be served by 151 (all days),0,0,0,0,0,0,0,0
144,144,SFU/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent," 57,000 "," 22,000 ",400m, 17.9 ,,Summer 2019: Increase service 17:00-20:00 from every 30 to 20 mins (Sat),0,0,0,0,0,0,0,0
145,145,SFU/PRODUCTION STN,Burnaby/New Westminster,Artic. Bus,All Day Frequent," 7,000 "," 6,000 ",400m, 8.0 ,,"- Fall 2018: Decrease service 07:00-11:00 from every 3-6 to 4-5 min, increase service 11:00-16:00 from every 8 to 6-7 min (M-F); Introduce all-door boarding  at SFU tunnel (all days)",0,0,0,0,0,0,0,0
146,146,METROTOWN STN/SUNCREST,Burnaby/New Westminster,Mini-Bus,Standard," 31,000 "," 15,000 ",400m, 3.1 , Limited data sampling 2015 ,- Fall 2018: Change route name from C6 to 146 (all days),0,0,0,0,0,0,0,0
147,147,METROTOWN STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent," 54,000 "," 18,000 ",400m, 6.6 , Limited data sampling 2015 ,- Winter 2017: Increase service 06:00-08:30 EB from every 30 to 15 min (M-F),- Fall 2018: Change route name from C7 to 147 (all days),0,0,0,0,0,0,0
148,148,ROYAL OAK STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent," 35,000 "," 8,000 ",400m, 6.2 , Limited data sampling 2015 ,- Winter 2017: Increase service 06:00-09:00 EB from every 30 to 15 min (M-F),- Fall 2018: Change route name from C5 to 148 (all days),0,0,0,0,0,0,0
150,150,COQUITLAM CENTRAL STN/WHITE PINE BEACH,Northeast Sector,Std. Bus,Special," 23,000 "," 11,000 ",400m,, Route is summer seasonal only; No data 2015-2016; Low data sampling on Saturdays 2018 ,0,0,0,0,0,0,0,,
151,151,COQUITLAM CENTRAL STN/BURQUITLAM STN,Northeast Sector,Std. Bus,Standard," 43,000 "," 15,000 ",400m, 8.9 , Data reflects Evergreen Extension changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Reroute btw Burquitlam Stn and Coquitlam Central Stn via Como Lake Ave to serve discontinued 143 segment; Discontinue service south of Como Lake Ave to be served by 157 (all days),,0,0,0,0,0,0,0
152,152,COQUITLAM CENTRAL STN/LOUGHEED STN,Northeast Sector,Std. Bus,Peak Frequent," 45,000 "," 17,000 ",400m, 11.9 ,,0,0,0,0,0,0,0,0,0
153,153,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Peak Frequent," 29,000 "," 13,000 ",400m, 11.5 , Data reflects Evergreen Extension changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Extend terminus from Poirier Community Centre to Coquitlam Central Stn (all days),- Spring 2017: Increase service during a.m./p.m. peaks from every 30 to 15 min (M-F),- Fall 2018: Convert vehicle from community shuttle to standard 40' bus (M-F),0,0,0,0,0,0
155,155,BRAID STN/22ND STREET STN,Burnaby/New Westminster,Std. Bus,Standard," 31,000 "," 14,000 ",400m, 7.5 ,,0,0,0,0,0,0,0,0,0
156,156,BRAID STN/LOUGHEED STN,Northeast Sector,Std. Bus,Basic," 49,000 "," 13,000 ",400m, 15.0 ,,- Winter 2016: Revise due to Evergreen Extension; Add additional stop at new Burquitlam Stn (all days),0,0,0,0,0,0,0,0
157,157,BURQUITLAM STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Standard," 41,000 "," 10,000 ",400m, 10.9 , Data reflects Evergreen Extension changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Extend terminus from Winslow Ave to Burquitlam Stn via Foster Ave and Cottonwood Ave to serve discontinued 151 route (all days),0,0,0,0,0,0,0,0
159,159,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Basic," 33,000 "," 28,000 ",400m, 18.3 , Data reflects Evergreen Extension changes in Dec 2016 ,- Winter 2016: Revise due to Evergreen Extension; Run all trips via Pitt River Rd; Discontinue alternate pattern via Meridian Industrial to be served by 175 (all days),- Fall 2017: Extend service to Coquitlam Central Stn from Port Coquitlam Stn (all days),- Fall 2018: Extend trips at WCE times into Port Coquitlam Stn (M-F),0,0,0,0,0,0
160,160,PORT COQUITLAM STN/KOOTENAY LOOP,Northeast Sector,Std. Bus,All Day Frequent," 78,000 "," 25,000 ",400m, 25.7 , Data reflects Evergreen Extension changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Shorten WB terminus from Burrard Stn to Kootenay Loop; Run all trips via Guildford Way pattern and discontinue pattern via Barnet Hwy to be served by 184 and 185 (all days),"- Summer 2017: Increase service 06:00-21:00 (M-F), 07:00-21:00 (Sat), and 08:00-21:00 (S/H) to every 15 min to make route part of FTN",0,0,0,0,0,0,0
169,169,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Mini-Bus,Standard," 17,000 "," 16,000 ",400m, 11.3 , Data reflects Evergreen Extension changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Run all trips via Riverview Hospital Grounds pattern and discontinue pattern via Lougheed Hwy (all days),- Fall 2018: Convert vehicle from standard 40' bus to community shuttle (M-F),0,0,0,0,0,0,0
170,170,PORT COQUITLAM STN/PORT COQUITLAM SOUTH,Northeast Sector,Mini-Bus,Peak Frequent," 17,000 "," 5,000 ",400m, 4.1 ,,- Winter 2016: Revise due to Evergreen Extension; Renumber former C36 as new 170 (all days),0,0,0,0,0,0,0,0
171/172,171/172,COQUITLAM CENTRAL STN/FREMONT–RIVERSIDE,Northeast Sector,Mini-Bus,Basic," 33,000 "," 14,000 ",,, 171/172 run as a connected route; Data reflects Evergreen changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Reroute southern portion of former C37 as new 171 via Lougheed Hwy btw Coquitlam Central Stn and Fremont Village (all days),- Winter 2016: Reroute due to Evergreen Extension; Reroute northern portion of former C37 as new 172 via Shaughnessy and Prairie btw Coquitlam Central Stn and Fremont Village (all days),- Summer 2017: Increase service during a.m./p.m. peaks from every 30 to 15 min (M-F),0,0,0,0,0,0
173/174,173/174,COQUITLAM CENTRAL STN/CEDAR–ROCKLIN,Northeast Sector,Mini-Bus,Basic," 40,000 "," 15,000 ",,, 173/174 run as a connected route; Data reflects Evergreen changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Reroute southern portion of former C38 as new 173 btw Coquitlam Central Stn and Cedar Dr (all days),- Winter 2016: Reroute due to Evergreen Extension; Reroute northern portion of former C38 as new 174 btw Coquitlam Central Stn and Rocklin Dr (all days),- Summer 2017: Increase service during a.m./p.m. peaks from every 30 to 15 min (M-F),0,0,0,0,0,0
175,175,COQUITLAM CENTRAL STN/MERIDIAN,Northeast Sector,Mini-Bus,Peak Only Limited," 20,000 "," 19,000 ",400m, 7.9 , Data reflects Evergreen Extension changes in Dec 2016; Low data sampling 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Extend WB terminus of former C40 as new 175 from Port Coquitlam Stn to Coquitlam Central Stn (all days),0,0,0,0,0,0,0,0
179,179,COQUITLAM CENTRAL STN/BUNTZEN LAKE,Northeast Sector,Mini-Bus,Special," 25,000 "," 12,000 ",,, This route is summer seasonal only; Data reflects Evergreen changes in Dec 2016 ,0,0,0,0,0,0,0,0,0
